Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,9.992785,10.317460,9.992785,10.209235,3.861217,138600
1980-12-15,10.209235,10.389610,10.137085,10.317460,3.902148,115800
1980-12-16,10.317460,10.353536,10.137085,10.317460,3.902148,52600
1980-12-17,10.317460,10.497835,10.317460,10.461761,3.956722,232800
1980-12-18,10.461761,11.075036,10.317460,10.425686,3.943080,143600
1980-12-19,10.425686,10.533911,9.992785,10.101010,3.820283,153000
1980-12-22,10.137085,11.038961,10.137085,10.930736,4.134094,208400
1980-12-23,10.930736,10.966811,10.678210,10.750360,4.065874,56000
1980-12-24,10.642136,10.642136,10.533911,10.642136,4.024945,24000
1980-12-26,10.642136,10.750360,10.569985,10.678210,4.038588,32400
1980-12-29,10.678210,10.966811,10.425686,10.497835,3.970367,42800
1980-12-30,10.497835,10.569985,10.389610,10.533911,3.984011,45600
1980-12-31,10.533911,10.642136,10.425686,10.425686,3.943080,63000
1981-01-02,10.425686,10.569985,10.425686,10.569985,3.997656,22600
1981-01-05,10.569985,10.642136,10.317460,10.317460,3.902148,130400
1981-01-06,10.317460,10.425686,9.740260,9.992785,3.779353,91800
1981-01-07,9.343434,9.343434,8.694084,9.126985,3.451902,351400
1981-01-08,9.126985,9.379509,8.838384,8.838384,3.342748,248000
1981-01-09,8.838384,9.126985,8.766233,8.874459,3.356392,220800
1981-01-12,9.090909,9.235209,9.090909,9.126985,3.451902,77600
1981-01-13,9.126985,9.235209,8.694084,8.802309,3.329105,82200
1981-01-14,8.802309,9.126985,8.802309,9.126985,3.451902,75200
1981-01-15,9.126985,9.235209,9.018759,9.126985,3.451902,219800
1981-01-16,9.126985,9.126985,8.910534,9.018759,3.410969,78800
1981-01-19,9.018759,9.090909,8.910534,9.018759,3.410969,74800
1981-01-20,9.018759,9.018759,8.585858,8.585858,3.247241,118600
1981-01-21,8.477633,8.477633,8.225108,8.297258,3.138090,145400
1981-01-22,8.297258,8.441559,8.261183,8.333333,3.151736,111000
1981-01-23,8.333333,8.441559,8.333333,8.441559,3.192665,49200
1981-01-26,8.441559,8.549784,8.369409,8.441559,3.192665,93600
1981-01-27,8.441559,8.766233,8.441559,8.658009,3.274530,101800
1981-01-28,8.694084,8.946609,8.694084,8.766233,3.315461,108600
1981-01-29,8.766233,8.802309,8.621934,8.621934,3.260887,83000
1981-01-30,8.621934,8.694084,8.549784,8.549784,3.233598,42400
1981-02-02,8.477633,8.477633,8.080808,8.116883,3.069873,119600
1981-02-03,7.972583,7.972583,7.611833,7.900433,2.988008,156600
1981-02-04,7.900433,8.080808,7.792208,7.972583,3.015297,104400
1981-02-05,7.972583,8.477633,7.972583,8.369409,3.165379,79400
1981-02-06,8.477633,8.658009,8.477633,8.549784,3.233598,42200
1981-02-09,8.549784,8.766233,8.549784,8.549784,3.233598,37400
1981-02-10,8.477633,8.477633,8.333333,8.441559,3.192665,21600
1981-02-11,8.441559,8.441559,8.080808,8.080808,3.056228,38800
1981-02-12,8.080808,8.225108,7.611833,7.828283,2.960720,74800
1981-02-13,7.828283,7.936508,7.720057,7.792208,2.947078,75200
1981-02-17,7.792208,7.828283,7.647908,7.720057,2.919789,52400
1981-02-18,7.720057,7.792208,7.467533,7.720057,2.919789,63200
1981-02-19,7.720057,7.792208,7.539682,7.539682,2.851571,45600
1981-02-20,7.521645,7.792208,7.467533,7.629870,2.885679,116800
1981-02-23,7.629870,8.116883,7.629870,8.116883,3.069873,42800
1981-02-24,8.225108,8.549784,8.225108,8.495671,3.213133,63600
1981-02-25,8.495671,8.982684,8.441559,8.982684,3.397326,90400
1981-02-26,9.361472,9.632034,9.361472,9.469697,3.581519,187400
1981-02-27,9.469697,9.632034,9.469697,9.469697,3.581519,119200
1981-03-02,9.469697,9.469697,9.090909,9.415585,3.561049,51800
1981-03-03,9.415585,9.469697,9.090909,9.090909,3.438257,62600
1981-03-04,9.090909,9.199134,8.441559,8.712121,3.294997,161000
1981-03-05,8.549784,8.549784,8.441559,8.495671,3.213133,73800
1981-03-06,8.549784,8.658009,8.549784,8.549784,3.233598,17200
1981-03-09,8.549784,8.549784,8.441559,8.441559,3.192665,37800
1981-03-10,8.441559,8.549784,8.387445,8.549784,3.233598,28200
1981-03-11,8.549784,8.549784,8.116883,8.225108,3.110803,69800
1981-03-12,8.225108,8.658009,8.062771,8.658009,3.274530,150000
1981-03-13,8.766233,9.090909,8.766233,8.820346,3.335927,97200
1981-03-16,8.820346,8.982684,8.658009,8.766233,3.315461,97400
1981-03-17,8.766233,8.766233,8.225108,8.441559,3.192665,79200
1981-03-18,8.441559,8.549784,8.387445,8.549784,3.233598,74200
1981-03-19,8.658009,9.036797,8.658009,8.820346,3.335927,106600
1981-03-20,8.820346,9.090909,8.820346,8.928572,3.376861,142400
1981-03-23,8.928572,9.415585,8.928572,9.253246,3.499653,205400
1981-03-24,9.307360,9.632034,9.307360,9.415585,3.561049,233400
1981-03-25,9.415585,10.227273,9.361472,10.173161,3.847573,207000
1981-03-26,10.173161,10.335498,10.010822,10.173161,3.847573,153200
1981-03-27,10.173161,10.281385,10.119047,10.119047,3.827107,152400
1981-03-30,10.119047,10.281385,9.956710,10.173161,3.847573,73800
1981-03-31,10.173161,10.389610,9.956710,10.010822,3.786178,102000
1981-04-01,10.010822,10.119047,9.848485,10.010822,3.786178,84800
1981-04-02,10.010822,10.010822,9.686147,9.740260,3.683846,29600
1981-04-03,9.740260,10.010822,9.740260,9.902597,3.745244,71600
1981-04-06,9.902597,9.956710,9.307360,9.469697,3.581519,68000
1981-04-07,9.469697,9.848485,9.469697,9.740260,3.683846,78400
1981-04-08,9.740260,9.902597,9.740260,9.848485,3.724780,45600
1981-04-09,9.848485,9.956710,9.686147,9.848485,3.724780,58800
1981-04-10,9.848485,10.173161,9.848485,10.173161,3.847573,99600
1981-04-13,10.173161,10.173161,9.956710,10.010822,3.786178,173400
1981-04-14,10.010822,10.173161,9.740260,9.902597,3.745244,97000
1981-04-15,9.902597,10.606061,9.740260,10.389610,3.929435,93200
1981-04-16,10.389610,10.660173,10.389610,10.660173,4.031765,106400
1981-04-20,10.606061,10.606061,10.119047,10.389610,3.929435,179600
1981-04-21,10.389610,10.389610,9.956710,9.956710,3.765710,80200
1981-04-22,9.956710,9.956710,9.361472,9.469697,3.581519,107600
1981-04-23,9.469697,9.469697,9.307360,9.307360,3.520123,50400
1981-04-24,9.307360,9.469697,9.253246,9.361472,3.540586,62600
1981-04-27,9.361472,9.686147,9.361472,9.577922,3.622448,46200
1981-04-28,9.577922,9.848485,9.415585,9.469697,3.581519,68400
1981-04-29,9.469697,9.469697,9.361472,9.469697,3.581519,17000
1981-04-30,9.469697,9.740260,9.469697,9.577922,3.622448,33600
1981-05-01,9.577922,9.686147,9.361472,9.469697,3.581519,33600
1981-05-04,9.469697,9.632034,9.253246,9.253246,3.499653,26800
1981-05-05,9.253246,9.361472,9.090909,9.090909,3.438257,40000
1981-05-06,9.090909,9.415585,9.090909,9.361472,3.540586,35600
1981-05-07,9.361472,9.469697,9.361472,9.469697,3.581519,19600
1981-05-08,9.469697,9.469697,9.307360,9.469697,3.581519,42600
1981-05-11,9.469697,9.469697,9.361472,9.469697,3.581519,14800
1981-05-12,9.469697,9.469697,9.253246,9.469697,3.581519,39800
1981-05-13,9.469697,9.632034,9.199134,9.199134,3.479190,45600
1981-05-14,9.199134,9.307360,9.036797,9.307360,3.520123,23800
1981-05-15,9.307360,9.469697,9.090909,9.361472,3.540586,47600
1981-05-18,9.361472,9.632034,9.361472,9.632034,3.642913,93800
1981-05-19,9.632034,9.632034,9.199134,9.361472,3.540586,58000
1981-05-20,9.361472,9.469697,9.307360,9.415585,3.561049,65800
1981-05-21,9.415585,9.469697,9.361472,9.469697,3.581519,21400
1981-05-22,9.469697,9.740260,9.415585,9.740260,3.683846,208600
1981-05-26,9.740260,10.660173,9.740260,10.606061,4.011299,159200
1981-05-27,10.606061,11.093074,10.606061,10.930736,4.134094,213400
1981-05-28,10.930736,11.038961,10.606061,10.606061,4.011299,75800
1981-05-29,10.606061,10.660173,10.010822,10.335498,3.908967,88800
1981-06-01,10.335498,10.335498,10.010822,10.173161,3.847573,129400
1981-06-02,10.173161,10.173161,9.253246,9.361472,3.540586,123000
1981-06-03,9.361472,9.361472,8.658009,9.036797,3.417790,185600
1981-06-04,9.090909,9.686147,9.090909,9.577922,3.622448,98000
1981-06-05,9.577922,9.848485,9.307360,9.632034,3.642913,81800
1981-06-08,9.632034,9.848485,9.577922,9.686147,3.663379,67800
1981-06-09,9.686147,9.740260,9.361472,9.469697,3.581519,27000
1981-06-10,9.469697,9.469697,9.307360,9.361472,3.540586,46200
1981-06-11,9.469697,9.740260,9.469697,9.632034,3.642913,115600
1981-06-12,9.632034,9.740260,9.577922,9.577922,3.622448,27800
1981-06-15,9.577922,9.740260,9.090909,9.090909,3.438257,44000
1981-06-16,8.766233,8.766233,8.549784,8.549784,3.233598,100400
1981-06-17,8.549784,9.090909,8.387445,9.090909,3.438257,168000
1981-06-18,9.090909,9.090909,8.766233,8.820346,3.335927,107200
1981-06-19,8.820346,9.469697,8.820346,9.469697,3.581519,128600
1981-06-22,9.469697,9.469697,9.307360,9.361472,3.540586,70800
1981-06-23,9.361472,9.469697,9.090909,9.307360,3.520123,467800
1981-06-24,9.253246,9.253246,8.820346,9.090909,3.438257,122400
1981-06-25,9.090909,9.415585,9.036797,9.199134,3.479190,113800
