Date,Open,High,Low,Close,Adj Close,Volume
1989-10-04,2.468750,2.546875,2.437500,2.500000,1.222902,20636000
1989-10-05,2.515625,2.625000,2.500000,2.578125,1.261118,6453600
1989-10-06,2.593750,2.625000,2.546875,2.546875,1.245832,2755200
1989-10-09,2.546875,2.546875,2.500000,2.546875,1.245832,1084000
1989-10-10,2.562500,2.562500,2.500000,2.531250,1.238188,1493600
1989-10-11,2.500000,2.515625,2.468750,2.515625,1.230545,1260000
1989-10-12,2.515625,2.546875,2.515625,2.531250,1.238188,602400
1989-10-13,2.531250,2.531250,2.468750,2.484375,1.215260,3970400
1989-10-16,2.375000,2.468750,2.375000,2.468750,1.207616,3924800
1989-10-17,2.437500,2.500000,2.437500,2.500000,1.222902,1843200
1989-10-18,2.500000,2.562500,2.484375,2.546875,1.245832,1128000
1989-10-19,2.531250,2.546875,2.531250,2.546875,1.245832,1040000
1989-10-20,2.531250,2.531250,2.515625,2.531250,1.238188,237600
1989-10-23,2.546875,2.562500,2.546875,2.546875,1.245832,87200
1989-10-24,2.546875,2.562500,2.531250,2.562500,1.253475,689600
1989-10-25,2.546875,2.578125,2.515625,2.546875,1.245832,608000
1989-10-26,2.546875,2.562500,2.546875,2.546875,1.245832,228800
1989-10-27,2.546875,2.546875,2.500000,2.515625,1.230545,456000
1989-10-30,2.515625,2.515625,2.500000,2.500000,1.222902,250400
1989-10-31,2.500000,2.515625,2.500000,2.500000,1.222902,424800
1989-11-01,2.515625,2.562500,2.515625,2.562500,1.253475,715200
1989-11-02,2.593750,2.640625,2.593750,2.640625,1.291691,130400
1989-11-03,2.625000,2.750000,2.625000,2.734375,1.337549,1118400
1989-11-06,2.718750,2.718750,2.578125,2.578125,1.261118,264800
1989-11-07,2.546875,2.687500,2.500000,2.687500,1.314621,727200
1989-11-08,2.687500,2.718750,2.671875,2.718750,1.329907,236800
1989-11-09,2.718750,2.718750,2.687500,2.687500,1.314621,60800
1989-11-10,2.687500,2.687500,2.546875,2.562500,1.253475,210400
1989-11-13,2.562500,2.562500,2.515625,2.546875,1.245832,92800
1989-11-14,2.578125,2.578125,2.484375,2.531250,1.238188,428000
1989-11-15,2.546875,2.578125,2.531250,2.562500,1.253475,176000
1989-11-16,2.546875,2.593750,2.546875,2.593750,1.268761,301600
1989-11-17,2.593750,2.640625,2.593750,2.640625,1.291691,249600
1989-11-20,2.656250,2.656250,2.609375,2.609375,1.276405,43200
1989-11-21,2.593750,2.671875,2.593750,2.671875,1.306977,108800
